product_sku,product_name,product_name_localized,inventory_item_sku,inventory_item_name,inventory_item_name_localized,quantity,unit,ingredient_cost
FG00001,معمول ميني بالكيلو,,FG00001,معمول ميني بالكيلو,,1,Unit,0
FG00002,معمول قالب,,FG00002,معمول قالب,,1,Unit,0
FG00003,معمول كاجو,,FG00003,معمول كاجو,,1,Unit,0
FG00004,معمول بندق.,,FG00004,معمول بندق.,,1,Unit,0
FG00005,معمول لوز,,FG00005,معمول لوز,,1,Unit,0
FG00006,معمول فسدق,,FG00006,معمول فسدق,,1,Unit,0
FG00007,غريبة سادة,,FG00007,غريبة سادة,,1,Unit,0
FG00008,غريبة كاجو,,FG00008,غريبة كاجو,,1,Unit,0
FG00009,غريبة بندق,,FG00009,غريبة بندق,,1,Unit,0
FG00010,غريبة لوز,غريبة لوز,FG00010,غريبة لوز,غريبة لوز,1,Unit,0
FG00011,غريبة فسدق,,FG00011,غريبة فسدق,,1,Unit,0
FG00012,بيتي فور سادة,,FG00012,بيتي فور سادة,,1,Unit,0
FG00013,بيتي فور كاكاو,,FG00013,بيتي فور كاكاو,,1,Unit,0
FG00014,تمر محشي حلا عربي,,FG00014,تمر محشي حلا عربي,,1,Unit,0
FG00015,تمرية حلا عربي,,FG00015,تمرية حلا عربي,,1,Unit,0
FG00016,موالح سادة,,FG00016,موالح سادة,,1,Unit,0
FG00017,موالح محشية,,FG00017,موالح محشية,,1,Unit,0
FG00018,موالح ملونة,,FG00018,موالح ملونة,,1,Unit,0
FG00019,لسان قط,,FG00019,لسان قط,,1,Unit,0
FG00020,برازق,,FG00020,برازق,,1,Unit,0
FG00021,معمول الجوز الكبير,,FG00021,معمول الجوز الكبير,,1,Unit,0
FG00022,معمول الفستق الكبير,,FG00022,معمول الفستق الكبير,,1,Unit,0
FG00023,معمول التمر الكبير (غير مغلف),,FG00023,معمول التمر الكبير (غير مغلف),,1,Unit,0
FG00024,معمول تمر كبير بالقرفة والزنجبيل,,FG00024,معمول تمر كبير بالقرفة والزنجبيل,,1,Unit,0
FG00025,شيكولا لوز كود جملة 224,,FG00025,شيكولا لوز كود جملة 224,,1,Unit,0
FG00026,شيكولا بندق - كود جملة 238- 376,,FG00026,شيكولا بندق - كود جملة 238- 376,,1,Unit,0
FG00027,شيكولا فستق مثلثات- كود جملة 241,,FG00027,شيكولا فستق مثلثات- كود جملة 241,,1,Unit,0
FG00028,شيكولا دايجيستف- 371,,FG00028,شيكولا دايجيستف- 371,,1,Unit,0
FG00029,شيكولا مبخرة - كود جملة 254,,FG00029,شيكولا مبخرة - كود جملة 254,,1,Unit,0
FG00030,كاب جناش,,FG00030,كاب جناش,,1,Unit,0
FG00031,كاب شيكولا كرسبى,,FG00031,كاب شيكولا كرسبى,,1,Unit,0
FG00032,كاب الريدكرنت فاكهة,,FG00032,كاب الريدكرنت فاكهة,,1,Unit,0
FG00033,كاب البلاك بيرى فاكهة,,FG00033,كاب البلاك بيرى فاكهة,,1,Unit,0
FG00034,كاب الرازبيرى فاكهة,,FG00034,كاب الرازبيرى فاكهة,,1,Unit,0
FG00035,كاب البلو بيرى فاكهة,,FG00035,كاب البلو بيرى فاكهة,,1,Unit,0
FG00036,كاب الفراولة فاكهة,,FG00036,كاب الفراولة فاكهة,,1,Unit,0
FG00037,كاب جوز الهند,,FG00037,كاب جوز الهند,,1,Unit,0
FG00038,كاب البندق,,FG00038,كاب البندق,,1,Unit,0
FG00039,كاب الفستق,,FG00039,كاب الفستق,,1,Unit,0
FG00040,كاب أوريو جولد,,FG00040,كاب أوريو جولد,,1,Unit,0
FG00041,كاب أوريو بلاك,,FG00041,كاب أوريو بلاك,,1,Unit,0
FG00042,شيكولا فلورانتين سمسم,,FG00042,شيكولا فلورانتين سمسم,,1,Unit,0
FG00043,شيكولا فلورانتين زعتر,,FG00043,شيكولا فلورانتين زعتر,,1,Unit,0
FG00044,شيكولا فلورانتين لوز,,FG00044,شيكولا فلورانتين لوز,,1,Unit,0
FG00045,شيكولا فلورانتين فول سودانى,,FG00045,شيكولا فلورانتين فول سودانى,,1,Unit,0
FG00046,شيكولا فلورانتين فستق,,FG00046,شيكولا فلورانتين فستق,,1,Unit,0
FG00047,شيكولا شيبس لوز,,FG00047,شيكولا شيبس لوز,,1,Unit,0
FG00048,كاب لوز,,FG00048,كاب لوز,,1,Unit,0
FG00049,شيكولا دلة كود جملة 207 - 253,,FG00049,شيكولا دلة كود جملة 207 - 253,,1,Unit,0
FG00050,شيكولا دلة هيل وتمر - كود جملة 251,,FG00050,شيكولا دلة هيل وتمر - كود جملة 251,,1,Unit,0
FG00051,شيكولا دلة روشية ونوتيلا كود جملة 217 - 218- 252,,FG00051,شيكولا دلة روشية ونوتيلا كود جملة 217 - 218- 252,,1,Unit,0
FG00052,شيكولا كنافة للجملة كود 266,,FG00052,شيكولا كنافة للجملة كود 266,,1,Unit,0
FG00053,شيكولا ويفر كروكانتين للجملة كود 215 - 268 - 270,,FG00053,شيكولا ويفر كروكانتين للجملة كود 215 - 268 - 270,,1,Unit,0
FG00054,شيكولا حلاوة سبريد كود جملة 249,,FG00054,شيكولا حلاوة سبريد كود جملة 249,,1,Unit,0
FG00055,حلا اوريو - كود جملة 210 -331,,FG00055,حلا اوريو - كود جملة 210 -331,,1,Unit,0
FG00056,حلا لوتس كود جملة 209 -330,,FG00056,حلا لوتس كود جملة 209 -330,,1,Unit,0
FG00057,تارت شيكولا جناش الليمون مع النعناع,,FG00057,تارت شيكولا جناش الليمون مع النعناع,,1,Unit,0
FG00058,تارت مانجونوزا,,FG00058,تارت مانجونوزا,,1,Unit,0
FG00059,تارت أوريو,,FG00059,تارت أوريو,,1,Unit,0
FG00060,تارت جوز الهند,,FG00060,تارت جوز الهند,,1,Unit,0
FG00061,موالح ستيك حلا قهوة,,FG00061,موالح ستيك حلا قهوة,,1,Unit,0
FG00062,قهوة وكراميل جملة كود 233,,FG00062,قهوة وكراميل جملة كود 233,,1,Unit,0
FG00063,شيكولا ريد فلفت - جملة348,,FG00063,شيكولا ريد فلفت - جملة348,,1,Unit,0
FG00064,ماكرون بلوبيرى,,FG00064,ماكرون بلوبيرى,,1,Unit,0
FG00065,ماكرون مانجو,,FG00065,ماكرون مانجو,,1,Unit,0
FG00066,ماكرون ليمون مع النعناع,,FG00066,ماكرون ليمون مع النعناع,,1,Unit,0
FG00067,ماكرون فستق,,FG00067,ماكرون فستق,,1,Unit,0
FG00068,ماكرون شيكولا,,FG00068,ماكرون شيكولا,,1,Unit,0
FG00069,ماكرون ورد,,FG00069,ماكرون ورد,,1,Unit,0
FG00070,ماكرون فواكه,,FG00070,ماكرون فواكه,,1,Unit,0
FG00071,ماكرون رازبيرى,,FG00071,ماكرون رازبيرى,,1,Unit,0
FG00072,ماكرون جوز الهند,,FG00072,ماكرون جوز الهند,,1,Unit,0
